Author,BookTitle,UUID
James Clear,Atomic Habits,6ecfafd0-8a35-4af6-a9e2-cbd79b3abeea
Colleen Hoover,It Ends With Us,c2573193-f333-49e2-abec-182915747756
Taylor Jenkins Reid,The Seven Husbands Of Evelyn Hugo,22e47f97-11ca-4c3c-8e77-f3068fddaf6e
Colleen Hoover,Reminders Of Him,26e6462c-eacf-40bb-b4d0-d683966e2624
Colleen Hoover,Verity,bb9e9105-6224-4a60-aabd-8d29cc4b1349
Peter Schweizer,Red-Handed,0894ddc7-0c84-4f13-a037-ddcaa1134ec8
